Model	Fiyat	Yil	Motor-Hacmi	Kilometre	Yakit	Seri	Kimden	Marka	Takasa-Uygun	Boya-Degisen	Vites-Tipi	Ilan-Tarihi	Ilan-No	Mekan
1.4 TDCi Comfort	 32.750 TL 	2005	1399 cc	284.000 km	Dizel	Fusion	Galeriden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263951	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.6 Comfort	 41.000 TL 	2004	1598 cc	260.000 km	LPG & Benzin	Avensis	Galeriden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263818	ADANA / SEYHAN / YEŞİLOBA MAHALLESİ	
2.0 TDCi Trend	 39.500 TL 	2006	1998 cc	311.000 km	Dizel	Mondeo	Sahibinden	Ford	Takasa Uygun	4 boyalı	Düz	13 Eylül 2019	12263923	KAYSERİ / MELİKGAZİ / ESENYURT MAHALLESİ	
520d Premium	 88.000 TL 	2008	1801 - 2000 cm3	242.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12225672	ANTALYA / KEPEZ / GÜLVEREN MAHALLESİ	
2.0 D5 Inscription	 415.000 TL 	2016	1969 cc	46.000 km	Dizel	S90	Yetkili Bayiden	Volvo	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12263883	ANKARA / ALTINDAĞ / ÖRNEK MAHALLESİ	
1.5 CRDi Classic	 45.000 TL 	2011	1493 cc	120.000 km	Dizel	Getz	Sahibinden	Hyundai	Takasa Uygun	1 boyalı	Düz	14 Eylül 2019	12265513	İSTANBUL / ESENLER / HAVAALANI MAHALLESİ	
1.5 dCi Joy	 62.900 TL 	2016	1461 cc	60.008 km	Dizel	Symbol	Yetkili Bayiden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263783	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.6 HDi Executive	 34.500 TL 	2006	1560 cc	295.000 km	Dizel	407	Sahibinden	Peugeot	Takasa Uygun Değil	1 değişen	Düz	14 Eylül 2019	12264462	KAYSERİ / KOCASİNAN / ERKİLET DERE MAHALLESİ	
1.3 Multijet Active Sole	 25.500 TL 	2007	1248 cc	270.000 km	Dizel	Palio	Galeriden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12253480	ANKARA / ÇANKAYA / ÇAYYOLU MAHALLESİ	
1.3 Multijet Active Plus	 45.750 TL 	2014	1248 cc	130.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	11989218	ANTALYA / KEPEZ / YEŞİLTEPE MAHALLESİ	
1.5 dCi Joy	 51.900 TL 	2016	1461 cc	130.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265258	DÜZCE / MERKEZ / AKINLAR MAHALLESİ	
1.6 Admire	 37.750 TL 	2005	1599 cc	207.000 km	LPG & Benzin	Accent	Galeriden	Hyundai	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12263824	OSMANİYE / MERKEZ / ŞİRİNEVLER MAHALLESİ	
1.6 TDi Highline	 109.000 TL 	2015	1401 - 1600 cm3	103.000 km	Dizel	Jetta	Yetkili Bayiden	Volkswagen	Takasa Uygun	1 değişen	Yarı Otomatik	13 Eylül 2019	12263926	ANKARA / YENİMAHALLE / İNÖNÜ MAHALLESİ	
1.3 Trend	 21.500 TL 	2003	1343 cc	236.000 km	Benzin	Rio	Galeriden	Kia	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265434	DİYARBAKIR / YENİŞEHİR / FABRİKA MAHALLESİ	
1.3 Multijet Active Plus	 36.450 TL 	2014	1201 - 1400 cm3	166.000 km	Az Riskli Durumda	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12139656	İSTANBUL / MALTEPE / KÜÇÜKYALI MAHALLESİ	
180 Elite	 172.800 TL 	2013	1401 - 1600 cm3	100.000 km	Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	11805164	İSTANBUL / ESENYURT / GÖKEVLER MAHALLESİ	
1.33 Life	 72.750 TL 	2016	1329 cc	25.000 km	Benzin	Corolla	Sahibinden	Toyota	Takasa Uygun Değil	1 boyalı	Düz	14 Eylül 2019	12264974	İSTANBUL / KÜÇÜKÇEKMECE / FEVZİ ÇAKMAK MAHALLESİ	
1.6 TDi Comfortline	 85.800 TL 	2015	1401 - 1600 cm3	230.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	2 boyalı	Yarı Otomatik	27 Ağustos 2019	12142021	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
1.25 Trend	 48.000 TL 	2013	1242 cc	138.000 km	Benzin	Fiesta	Sahibinden	Ford	Takasa Uygun	2 değişen	Düz	14 Eylül 2019	12264530	HATAY / DEFNE / SÜMERLER MAHALLESİ	
1.3	 18.000 TL 	1998	1297 cc	76.456 km	LPG & Benzin	Ka	Sahibinden	Ford	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263836	SAKARYA / ADAPAZARI / ORTA MAHALLESİ	
1.6 CRDI Mode Plus	 68.000 TL 	2015	1401 - 1600 cm3	142.000 km	Dizel	Accent Blue	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264040	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 TDI Optimal	 85.000 TL 	2015	1598 cc	215.000 km	Dizel	Octavia	Galeriden	Skoda	Takasa Uygun	Tamamı orjinal	Yarı Otomatik	07 Eylül 2019	12217451	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
1.4 ie SX	 13.750 TL 	1998	1401 - 1600 cm3	190.000 km	LPG & Benzin	Uno	Galeriden	Fiat	Takasa Uygun Değil	1 değişen, 2 boyalı	Düz	13 Eylül 2019	12245248	KONYA / EREĞLİ / HACI MUSTAFA MAHALLESİ	
Şahin 5 Vites	 14.000 TL 	1993	1581 cc	0 km	LPG & Benzin	Şahin	Sahibinden	Tofaş	Takasa Uygun Değil	Tamamı orjinal	Düz	14 Eylül 2019	12265792	BALIKESİR / EDREMİT / CUMHURİYET MAHALLESİ	
1.6 CDTI Design	 92.000 TL 	2017	1401 - 1600 cm3	74.667 km	Dizel	Astra	Yetkili Bayiden	Opel	Takasa Uygun	1 değişen, 1 boyalı	Otomatik	13 Eylül 2019	12263774	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.3 Multijet Active Plus	 33.999 TL 	2010	1248 cc	210.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12237811	ANTALYA / MANAVGAT / YUKARIIŞIKLAR MAHALLESİ	
1.4 DGT	 12.500 TL 	1990	1401 - 1600 cm3	250.000 km	Benzin	Tipo	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264800	BURSA / YILDIRIM / YİĞİTLER MAHALLESİ	
1.6 TDI Active	 139.900 TL 	2016	1598 cc	64.000 km	Dizel	SuperB	Galeriden	Skoda	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263978	GAZİANTEP / ŞEHİTKAMİL / AYDINLAR MAHALLESİ	
1.3 Admire	 22.750 TL 	2006	1341 cc	248.000 km	Benzin	Accent	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12197240	ANTALYA / MANAVGAT / YUKARIIŞIKLAR MAHALLESİ	
316i Standart	 46.500 TL 	2004	1596 cc	255.000 km	LPG & Benzin	3 Serisi	Sahibinden	BMW	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265734	TEKİRDAĞ / MALKARA / CAMİ ATİK MAHALLESİ	
525d xDrive xDrive	 182.500 TL 	2013	1801 - 2000 cm3	247.000 km	Dizel	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264783	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
C 200 D Comfort	 239.900 TL 	2018	1401 - 1600 cm3	26.000 km	Dizel	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265549	ANKARA / YENİMAHALLE / MACUN MAHALLESİ	
1.6 Trendline	 59.900 TL 	2006	1401 - 1600 cm3	190.000 km	Benzin	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12262204	BURSA / KARACABEY / ÇAMLICA MAHALLESİ	
1.4 Spring	 11.500 TL 	1993	1390 cc	326.000 km	LPG & Benzin	R 9	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265728	DİYARBAKIR / DİCLE / BALTACI MAHALLESİ	
1.6 CRDI Prime	 79.999 TL 	2015	1582 cc	93.100 km	Dizel	Accent Blue	Sahibinden	Hyundai	Takasa Uygun	1 boyalı	Düz	14 Eylül 2019	12265751	ANTALYA / MURATPAŞA / ÇAYBAŞI MAHALLESİ	
1.5 dCi Dynamique	 38.250 TL 	2012	1461 cc	176.000 km	Dizel	Symbol	Galeriden	Renault	Takasa Uygun Değil	2 boyalı	Düz	13 Eylül 2019	12254479	KONYA / EREĞLİ / HACI MUSTAFA MAHALLESİ	
1.4 TSi Comfortline	 58.500 TL 	2008	1401 - 1600 cm3	173.000 km	Benzin	Golf	Galeriden	Volkswagen	Takasa Uygun Değil	2 boyalı	Otomatik	13 Eylül 2019	12260259	ERZİNCAN / ÜZÜMLÜ / YUNUS EMRE MAHALLESİ	
Grande 1.3 Multijet Dynamic	 40.000 TL 	2008	1248 cc	252.000 km	Dizel	Punto	Sahibinden	Fiat	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265688	ANKARA / MAMAK / CENGİZHAN MAHALLESİ	
1.6 Sport Edition	 129.750 TL 	2018	1401 - 1600 cm3	8.063 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265284	İSTANBUL / MALTEPE / BAĞLARBAŞI MAHALLESİ	
330i xDrive	 53.000 TL 	2001	2979 cc	223.000 km	Benzin	3 Serisi	Galeriden	BMW	Takasa Uygun	1 değişen, 8 boyalı	Düz	13 Eylül 2019	12225681	ANTALYA / KEPEZ / GÜLVEREN MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 134.750 TL 	2015	1401 - 1600 cm3	93.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	1 boyalı	Yarı Otomatik	14 Eylül 2019	12265550	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 HDi Active	 62.500 TL 	2015	1560 cc	68.000 km	Dizel	301	Galeriden	Peugeot	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264285	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 HDi Confort	 56.500 TL 	2015	1560 cc	103.000 km	Dizel	C-Elysee	Galeriden	Citroen	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12192421	SAMSUN / ÇARŞAMBA / SUNGURLU MAHALLESİ	
1.5 Gran Move	 14.999 TL 	1998	1499 cc	275.000 km	LPG & Benzin	Move	Sahibinden	Daihatsu	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264380	MERSİN / YENİŞEHİR / AFETEVLER MAHALLESİ	
1.4 Twinport Enjoy 111	 59.750 TL 	2011	1364 cc	156.000 km	Benzin	Corsa	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265608	İSTANBUL / BEYLİKDÜZÜ / YAKUPLU MAHALLESİ	
1.5 dCi Stepway	 62.750 TL 	2015	1461 cc	66.000 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun	1 değişen, 1 boyalı	Düz	13 Eylül 2019	12264252	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.2 EL	 17.000 TL 	2004	1242 cc	280.000 km	Benzin	Palio	Sahibinden	Fiat	Takasa Uygun Değil	11 boyalı	Düz	14 Eylül 2019	12264387	ANTALYA / MURATPAŞA / GENÇLİK MAHALLESİ	
530i xDrive Executive M Sport	 540.000 TL 	2018	1801 - 2000 cm3	30.023 km	Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264961	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.25 Trend	 47.500 TL 	2012	1242 cc	59.000 km	Benzin	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	2 değişen	Düz	14 Eylül 2019	12264674	SAMSUN / TEKKEKÖY / 19 MAYIS MAHALLESİ	
1.5 CRDi EX Comfort	 32.000 TL 	2007	1493 cc	285.000 km	Dizel	Rio	Sahibinden	Kia	Takasa Uygun Değil	1 değişen, 9 boyalı	Düz	13 Eylül 2019	12263807	İSTANBUL / ARNAVUTKÖY / HADIMKÖY MAHALLESİ	
1.3 Multijet Pop	 57.900 TL 	2016	1248 cc	86.700 km	Dizel	Linea	Yetkili Bayiden	Fiat	Takasa Uygun	1 boyalı	Düz	13 Eylül 2019	12263795	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
1.3 Multijet Pop	 48.900 TL 	2015	1201 - 1400 cm3	140.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	1 değişen, 3 boyalı	Düz	14 Eylül 2019	12233806	İSTANBUL / BAĞCILAR / MAHMUTBEY MAHALLESİ	
1.6 TDi Comfortline	 83.500 TL 	2011	1598 cc	174.000 km	Dizel	Jetta	Sahibinden	Volkswagen	Takasa Uygun Değil	Tamamı orjinal	Yarı Otomatik	14 Eylül 2019	12265786	ANKARA / ALTINDAĞ / KARAPÜRÇEK MAHALLESİ	
1.6 Tekna	 32.000 TL 	2005	1596 cc	230.000 km	LPG & Benzin	Primera	Galeriden	Nissan	Takasa Uygun	Belirtilmemiş	Düz	12 Eylül 2019	10682786	DENİZLİ / SARAYKÖY / CUMHURİYET MAHALLESİ	
1.5 dCi Stepway Style	 97.000 TL 	2018	1461 cc	515 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264855	BURSA / OSMANGAZİ / SOĞANLI MAHALLESİ	
180 AMG	 299.900 TL 	2017	1401 - 1600 cm3	52.000 km	Benzin	E	Galeriden	Mercedes - Benz	Takasa Uygun Değil	Belirtilmemiş	Otomatik	13 Eylül 2019	12264717	ZONGULDAK / MERKEZ / TERAKKİ MAHALLESİ	
1.4 D-4D Comfort	 49.500 TL 	2007	1364 cc	229.600 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	6 boyalı	Düz	14 Eylül 2019	12265438	DENİZLİ / SARAYKÖY / BEYLERBEYİ MAHALLESİ	
Doblo Combi 1.6 Multijet Premio	 62.950 TL 	2014	160.000 km	Dizel	Doblo	Galeriden	Fiat	4x2 (Arkadan İtişli)	Belirtilmemiş	Düz	13 Eylül 2019	Takasa Uygun	12264519	İSTANBUL / BAHÇELİEVLER / BAHÇELİEVLER MAHALLESİ	
2.0 GDI GT Line	 348.500 TL 	2018	1801 - 2000 cm3	10.900 km	Benzin	Stinger	Galeriden	Kia	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12264619	İSTANBUL / KADIKÖY / MERDİVENKÖY MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 104.500 TL 	2013	1598 cc	124.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun Değil	2 değişen	Yarı Otomatik	13 Eylül 2019	12038980	ANKARA / ALTINDAĞ / AYDINLIKEVLER MAHALLESİ	
1.3 Multijet Active	 28.500 TL 	2007	1248 cc	224.635 km	Dizel	Albea	Yetkili Bayiden	Fiat	Takasa Uygun	2 boyalı	Düz	13 Eylül 2019	12263721	İSTANBUL / ESENLER / TUNA MAHALLESİ	
2.0 Wagon	 40.000 TL 	1998	1998 cc	206.000 km	LPG & Benzin	Avensis	Sahibinden	Toyota	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265539	ZONGULDAK / EREĞLİ / BÖLÜCEK MAHALLESİ	
1.4 TDi Trendline	 32.850 TL 	2005	1422 cc	220.000 km	Dizel	Polo	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	10 Eylül 2019	12236003	ANTALYA / MANAVGAT / AŞAĞIIŞIKLAR MAHALLESİ	
1.2 TSi Trendline	 69.000 TL 	2012	1197 cc	120.000 km	Benzin	Jetta	Sahibinden	Volkswagen	Takasa Uygun Değil	1 değişen	Düz	13 Eylül 2019	12264039	ANTALYA / KONYAALTI / HURMA MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 131.900 TL 	2015	1401 - 1600 cm3	117.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Düz	10 Eylül 2019	12238579	İSTANBUL / BAĞCILAR / 100. YIL MAHALLESİ	
318i Standart	 25.500 TL 	1994	1796 cc	290.000 km	LPG & Benzin	3 Serisi	Sahibinden	BMW	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12263832	MANİSA / ŞEHZADELER / YARHASANLAR MAHALLESİ	
1.4 Team	 49.999 TL 	2010	1399 cc	43.000 km	Benzin	Accent Era	Galeriden	Hyundai	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265341	ÇANAKKALE / YENİCE / ESKİ YENİCE MAHALLESİ	
1.6 HL	 13.500 TL 	2000	1580 cc	303.000 km	LPG & Benzin	Siena	Sahibinden	Fiat	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265017	DENİZLİ / PAMUKKALE / DOKUZKAVAKLAR MAHALLESİ	
190 E 2.0	 23.000 TL 	1993	1401 - 1600 cm3	342.000 km	Benzin	190	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265670	ANKARA / AKYURT / SARACALAR MAHALLESİ	
C 180 Avantgarde	 177.750 TL 	2016	1401 - 1600 cm3	53.000 km	Benzin	C	Galeriden	Mercedes - Benz	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12265558	ANKARA / AKYURT / SARACALAR MAHALLESİ	
SLX	 12.500 TL 	1994	1581 cc	88.000 km	LPG & Benzin	Doğan	Sahibinden	Tofaş	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12264280	MERSİN / TOROSLAR / KURDALİ MAHALLESİ	
1.5 CRDi Start	 37.200 TL 	2011	1493 cc	211.000 km	Dizel	Accent Era	Sahibinden	Hyundai	Takasa Uygun Değil	5 boyalı	Düz	14 Eylül 2019	12264587	ANKARA / KEÇİÖREN / KARŞIYAKA MAHALLESİ	
1.4 RXT	 25.999 TL 	2001	1390 cc	183.000 km	LPG & Benzin	Clio	Sahibinden	Renault	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264074	ANTALYA / FİNİKE / YEŞİLYURT MAHALLESİ	
1.4 D-4D Advance	 81.750 TL 	2015	1201 - 1400 cm3	108.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	5 boyalı	Yarı Otomatik	14 Eylül 2019	12265519	ANKARA / AKYURT / SARACALAR MAHALLESİ	
1.6 Cabrio Cabrio	 21.500 TL 	2001	1401 - 1600 cm3	151.000 km	Benzin	Megane	Galeriden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12265106	DENİZLİ / MERKEZEFENDİ / SÜMER MAHALLESİ	
A4 Avant 2.0 TDI	 121.500 TL 	2012	1801 - 2000 cm3	250.000 km	Dizel	A4	Galeriden	Audi	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	10 Eylül 2019	12239383	İSTANBUL / KADIKÖY / BOSTANCI MAHALLESİ	
1.4 TDCi Comfort	 39.500 TL 	2006	1201 - 1400 cm3	186.000 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12265245	ADANA / ÇUKUROVA / TOROS MAHALLESİ	
1.6 TDi Comfortline	 63.000 TL 	2011	1598 cc	169.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264582	ADIYAMAN / MERKEZ / SİTELER MAHALLESİ	
2.0 T	 26.000 TL 	1999	1948 cc	220.000 km	LPG & Benzin	S40	Sahibinden	Volvo	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264473	KOCAELİ / ÇAYIROVA / ÇAYIROVA MAHALLESİ	
520i M Sport	 355.000 TL 	2017	1592 cc	28.500 km	Benzin	5 Serisi	Galeriden	BMW	Takasa Uygun	Belirtilmemiş	Otomatik	11 Eylül 2019	12246844	İSTANBUL / KADIKÖY / GÖZTEPE MAHALLESİ	
1.6 TDCi Trend X	 94.000 TL 	2017	1560 cc	67.500 km	Dizel	Focus	Galeriden	Ford	Takasa Uygun	Tamamı orjinal	Düz	04 Eylül 2019	12159586	AKSARAY / MERKEZ / MERKEZ	
1.6 CRDI Mode Plus	 88.000 TL 	2017	1401 - 1600 cm3	44.763 km	Dizel	Accent Blue	Yetkili Bayiden	Hyundai	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12263755	İSTANBUL / ESENLER / TUNA MAHALLESİ	
1.6 XT	 42.950 TL 	2004	1587 cc	99.000 km	Benzin	307	Sahibinden	Peugeot	Takasa Uygun	1 değişen, 3 boyalı	Otomatik	14 Eylül 2019	12265547	İSTANBUL / ÇEKMEKÖY / ALEMDAĞ MAHALLESİ	
1.4 TDCi Trend	 39.750 TL 	2011	1398 cc	113.000 km	Dizel	Fiesta	Sahibinden	Ford	Takasa Uygun	2 değişen	Düz	14 Eylül 2019	12264424	ADANA / ÇUKUROVA / HUZUREVLERİ MAHALLESİ	
1.6 Midline	 82.800 TL 	2015	1401 - 1600 cm3	134.000 km	Dizel	Golf	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	13 Eylül 2019	12264335	ANKARA / ALTINDAĞ / ZÜBEYDE HANIM MAHALLESİ	
1.6 TDi Highline	 106.950 TL 	2015	1401 - 1600 cm3	94.000 km	Dizel	Jetta	Yetkili Bayiden	Volkswagen	Takasa Uygun	5 boyalı	Yarı Otomatik	13 Eylül 2019	12263876	ANKARA / YENİMAHALLE / İNÖNÜ MAHALLESİ	
1.3 Multijet Active Plus	 33.500 TL 	2011	1248 cc	230.000 km	Dizel	Linea	Galeriden	Fiat	Takasa Uygun	2 değişen, 6 boyalı	Düz	10 Eylül 2019	12177295	ANTALYA / KEPEZ / GÜLVEREN MAHALLESİ	
1.6 TDi BlueMotion Comfortline	 130.000 TL 	2015	1401 - 1600 cm3	156.000 km	Dizel	Passat	Galeriden	Volkswagen	Takasa Uygun	Tamamı orjinal	Yarı Otomatik	10 Eylül 2019	12228266	GAZİANTEP / ŞEHİTKAMİL / KARACAAHMET MAHALLESİ	
1.6 CDTI Design	 88.500 TL 	2016	1401 - 1600 cm3	95.000 km	Dizel	Astra	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	12265586	İSTANBUL / ESENYURT / TURGUT ÖZAL MAHALLESİ	
C 180 AMG 7G-Tronic	 199.000 TL 	2015	1595 cc	75.000 km	Benzin	C	Sahibinden	Mercedes - Benz	Takasa Uygun Değil	Tamamı orjinal	Otomatik	14 Eylül 2019	12265422	AKSARAY / MERKEZ / MİNARECİK MAHALLESİ	
1.5 dCi Joy	 68.900 TL 	2017	1461 cc	36.744 km	Dizel	Symbol	Yetkili Bayiden	Renault	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12264995	İSTANBUL / ATAŞEHİR / MERKEZ	
1.5 dCi Icon	 157.500 TL 	2017	4.520 km	Dizel	Captur	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Otomatik	14 Eylül 2019	10662968	ELAZIĞ / MERKEZ / AKÇAKİRAZ BELDESİ (YÜZBAŞI MAHALLESİ)	
1.4 S	 24.750 TL 	1998	1396 cc	252 km	Benzin	Civic	Sahibinden	Honda	Takasa Uygun Değil	Belirtilmemiş	Otomatik	14 Eylül 2019	12264623	İSTANBUL / ATAŞEHİR / İÇERENKÖY MAHALLESİ	
1.5 dCi Stepway	 77.000 TL 	2017	1461 cc	59.000 km	Dizel	Sandero	Galeriden	Dacia	Takasa Uygun	Belirtilmemiş	Düz	13 Eylül 2019	12263600	KÜTAHYA / MERKEZ / FUATPAŞA MAHALLESİ	
1.4 D-4D Class	 54.750 TL 	2008	1364 cc	185.000 km	Dizel	Corolla	Galeriden	Toyota	Takasa Uygun	2 boyalı	Düz	13 Eylül 2019	12264539	BURSA / YILDIRIM / YİĞİTLER MAHALLESİ	
595 Turismo	 189.000 TL 	2017	1201 - 1400 cm3	8.150 km	Benzin	500 Abarth	Galeriden	Fiat	Takasa Uygun	Belirtilmemiş	Otomatik	13 Eylül 2019	12265070	İSTANBUL / BEYKOZ / ACARLAR MAHALLESİ	
1.6 TDi Comfortline	 98.750 TL 	2015	1401 - 1600 cm3	130.000 km	Dizel	Jetta	Galeriden	Volkswagen	Takasa Uygun	Belirtilmemiş	Yarı Otomatik	13 Eylül 2019	12264917	ANTALYA / KEPEZ / ALTINOVA DÜDEN MAHALLESİ	
1.6 Laureate	 23.000 TL 	2006	1598 cc	230.000 km	LPG & Benzin	Logan	Sahibinden	Dacia	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12264253	GAZİANTEP / ŞAHİNBEY / ŞAHİNBEY MERKEZ MAHALLESİ	
1.6 TDi Comfortline	 92.000 TL 	2014	1598 cc	115.000 km	Dizel	Jetta	Sahibinden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Yarı Otomatik	14 Eylül 2019	12264212	DİYARBAKIR / YENİŞEHİR / GÜRDOĞAN MAHALLESİ	
1.5 dCi Joy	 89.900 TL 	2018	1461 cc	17.934 km	Dizel	Clio	Galeriden	Renault	Takasa Uygun Değil	Tamamı orjinal	Düz	13 Eylül 2019	12264649	MANİSA / ŞEHZADELER / 2. ANAFARTALAR MAHALLESİ	
1.6 T Cosmo	 62.900 TL 	2009	1598 cc	136.000 km	Benzin	Insignia	Galeriden	Opel	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265683	BALIKESİR / KARESİ / KUVA-İ MİLLİYE MAHALLESİ	
2.0 GT	 21.350 TL 	1998	1998 cc	285.000 km	LPG & Benzin	Primera	Sahibinden	Nissan	Takasa Uygun	Belirtilmemiş	Düz	14 Eylül 2019	12265541	İZMİR / GÜZELBAHÇE / KAHRAMANDERE MAHALLESİ	
1.6	 18.500 TL 	1998	1598 cc	260.000 km	LPG & Benzin	Polo	Galeriden	Volkswagen	Takasa Uygun Değil	Belirtilmemiş	Düz	14 Eylül 2019	12137324	ÇORUM / MERKEZ / BUHARAEVLER MAHALLESİ	
1.6 GLi	 26.900 TL 	1997	1587 cc	316 km	LPG & Benzin	Corolla	Galeriden	Toyota	Takasa Uygun	Belirtilmemiş	Otomatik	14 Eylül 2019	11860603	ANTALYA / KEPEZ / ŞAFAK MAHALLESİ	
